Site,Final.Site,Address,CBSA.Name,Latitude,Longitude,n,Yrs
Sweet Home - Fd  (Sfd),Albany,SWEET HOME FIRE DEPT 1109 LONG ST.  (SFD),"Albany, OR",44.3958,-122.7305,131,2008:2009:2011
Anacortes-202 Ave,Anacortes,202 O Ave,"Mount Vernon-Anacortes, WA",48.52059,-122.61428,2197,2013:2014:2015:2016:2017:2018:2019:2021
Auburn M St Se,Auburn,"2301 M Street SE, Auburn, WA 98002","Seattle-Tacoma-Bellevue, WA",47.2875,-122.2144,303,2019
Bellingham - Yew Street,Bellingham,2412 YEW ST,"Bellingham, WA",48.76278,-122.44028,1415,2013:2014:2015:2016:2017
Bellingham-Pacific St,Bellingham,2221 Pacific Street,"Bellingham, WA",48.760036,-122.456463,1161,2018:2019:2020:2021
Billings Lockwood,Billings,2320 Old Hardin Rd,"Billings, MT",45.806311,-108.425978,1223,2018:2019:2020:2021
St Lukes,Billings,2ND AVE N. and N 32ND ST.,"Billings, MT",45.7804,-108.511542,802,2015:2016:2017
Birney - Tongue River,Birney,"SR 566, 3 Miles N of Birney",,45.366151,-106.48982,3262,2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Meridian - St. Luke's,Boise,"520 S. EAGLE ROAD,  MERIDIAN","Boise City, ID",43.600699,-116.347853,1186,2008:2009:2010:2015:2016:2017:2018:2019:2020:2021
Belgrade Conagra,Bozeman-3,"BELGRADE CONAGRA,100 S BROADWAY,BELGRAD","Bozeman, MT",45.772707,-111.178286,147,2008:2009:2010:2011
West Yellowstone City Center,Bozeman-2,ALLEY,"Bozeman, MT",44.661393,-111.105891,826,2008:2009:2010
West Yellowstone Park Ent #2,Bozeman,NE of West Park Entrance Gate,"Bozeman, MT",44.657014,-111.089618,1916,2015:2016:2017:2018:2019:2020:2021
Bremerton-Spruce Ave,Bremerton,3250 Spruce Ave,"Bremerton-Silverdale, WA",47.592675,-122.627397,2932,2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Broadus,Broadus,Big Powder River Road East,,45.440295,-105.370283,3415,2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Burns - Washington Park (Bws),Burns,"458 E Washington St. , Burns, OR  97720",,43.58925,-119.04872,1482,2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Butte Greeley School,Butte,Alley Btwn N. Park Pl. and S. Park Pl.,"Butte-Silver Bow, MT",46.002602,-112.501247,3861,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Colville-E 1st,Colville,261 E 1st St,"Spokane-Spokane Valley, WA",48.544448,-117.903425,569,2018:2020:2021
Darrington - Fir St (Darrington High School),Darrington,1085 FIR ST,"Seattle-Tacoma-Bellevue, WA",48.2469,-121.6031,3449,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Ellensburg - Ruby St,Ellensburg,201 N. RUBY,"Ellensburg, WA",46.99364,-120.545,1983,2015:2016:2017:2018:2019:2020:2021
Cottage Grove - City Shops (Cgc),Cottage Grove,425 N 14th Cottage Grove City Shops (CGC),"Eugene, OR",43.799501,-123.053487,962,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Eugene - Amazon Park (Eap),Eugene,AMAZON PARK/499 E 29TH,"Eugene, OR",44.026312,-123.083737,1189,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Eugene - Hwy 99 (E99),Eugene-2,"530 Hwy 99 North, Eugene, OR 97403  (Eugene Highway 99 or E99)","Eugene, OR",44.067224,-123.141352,804,2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Oakridge - (Oak),Oakridge,"47674 SCHOOL ST., OAKRIDGE","Eugene, OR",43.744352,-122.480487,1381,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Grants Pass Parkside School,Grants Pass,"735 SW WAGNER MEADOWS DR, GRANTS PASS, OR 97526","Grants Pass, OR",42.434139,-123.348466,338,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Great Falls High School,Great Falls,GT FALLS HIGHSCHOOL CRN 3RD S & 17TH E,"Great Falls, MT",47.50218,-111.279698,101,2008:2009
Hamilton - Ps 46,Hamilton,MADISON AND 3RD STREET SOUTH,,46.243621,-114.158889,4222,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Ncore - Sieben Flats,Helena,"I-15 Exit 209, then Sperry Dr.","Helena, MT",46.8505,-111.987164,3784,2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Rossiter Pump House,Helena-2,1497 SIERRA ROAD EAST,"Helena, MT",46.658762,-112.013089,5958,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Hillsboro - Hare Field,Hillsboro,"1149 NE GRANT ST HILLSBORO, OR 97124","Portland-Vancouver-Hillsboro, OR-WA",45.528501,-122.972398,670,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Flathead Valley,Kalispell,610 13th Street West (located in Athletic Field at this address),"Kalispell, MT",48.363694,-114.189272,3145,2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Kent - James & Central,Kent,"614 RAILROAD AVE N, KENT","Seattle-Tacoma-Bellevue, WA",47.386111,-122.230278,3220,2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Klamath Falls - Peterson School,Klamath Falls,PETERSON ELEM/4856 CLINTON ST,"Klamath Falls, OR",42.190296,-121.731369,1500,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
"Lakeview, Center & M St.  (Lcm)",Lakeview,"LCM/CENTER & M ST, LAKEVIEW, OR",,42.189215,-120.353969,661,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Lewistown,Lewistown,303 East Aztec Drive Lewistown MT 59457,,47.048537,-109.455315,2781,2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Libby Courthouse Annex,Libby,418 Mineral Ave,,48.391545,-115.553309,3361,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Franklin,Logan,FRANKLIN - WATER TREATMENT FACILITY AT EAST 4800 SOUTH,"Logan, UT-ID",42.013333,-111.809167,1495,2008:2009:2011:2012:2013:2014:2015:2016:2017
Lynnwood - 212th,Lynnwood,"6120 212TH ST SW, MOUNTLAKE TERRACE, WA","Seattle-Tacoma-Bellevue, WA",47.8064,-122.3167,2756,2011:2012:2013:2014:2015:2016:2017:2018
Malta,Malta,"2309 Short Oil Road, Malta, MT 59538",,48.317507,-107.862471,2780,2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Marysville - 7th Ave (Marysville Junior High),Marysville,1799 7th S,"Seattle-Tacoma-Bellevue, WA",48.054315,-122.171529,4925,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017:2018:2019:2020:2021
Medford - Grant & Belmont Sts. (Mgb),Medford,902 GRANT AVENUE,"Medford, OR",42.31411,-122.87923,722,2008:2009:2010:2011:2012:2013:2014:2015:2016:2017
